school,journal,year,author,paper_key,tags,affiliation
Arizona State (Carey),MS,2024,Suparerk Lekwijit,doi:10.1287/mnsc.2023.4865,information_systems,"Department of Information Systems, W. P. Carey School of Business, Arizona State University, Tempe, Arizona 85281;"
MIT,MS,2024,David Simchi-Levi,doi:10.1287/mnsc.2021.04202,engineering,"Institute for Data, Systems, and Society, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139; ; Department of Civil and Environmental Engineering, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139; ; Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139;"
Columbia,MS,2024,Caroline Flammer,doi:10.1287/mnsc.2023.4846,economics,"School of International and Public Affairs, Columbia Climate School, and Columbia Business School, Columbia University, New York, New York 10027; ; National Bureau of Economic Research (NBER), Cambridge, Massachusetts 02138; ; European Corporate Governance Institute (ECGI), 1000 Brussels, Belgium;"
Toronto (Rotman),MS,2024,Joshua S. Gans,doi:10.1287/mnsc.2023.02426,economics,"Rotman School of Management, University of Toronto, Toronto, Ontario M5S 3E6, Canada; ; National Bureau of Economic Research, Cambridge, Massachusetts 02138;"
NYU (Stern),MS,2024,Hanna Halaburda,doi:10.1287/mnsc.2023.02426,statistics,"Department of Technology, Operations and Statistics, Stern School of Business, New York University, New York, New York 10012"
MIT,MS,2025,David Simchi-Levi,doi:10.1287/mnsc.2022.03512,engineering,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering, Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
MIT,MS,2025,David Simchi-Levi,doi:10.1287/mnsc.2022.02260,engineering,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering, and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
MIT,MS,2025,David Simchi-Levi,doi:10.1287/mnsc.2023.04026,engineering,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering, and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
Florida (Warrington),MS,2025,Xiajun Amy Pan,doi:10.1287/mnsc.2023.00316,information_systems,"Information Systems and Operations Management Department, Warrington College of Business Administration, University of Florida, Gainesville, Florida 32611"
Stanford,MS,2025,Susan Athey,doi:10.1287/mnsc.2024.04405,economics,"Department of Economics, Stanford University Graduate School of Business, Palo Alto, California 94305"
Northwestern (Kellogg),MS,2025,Dean Karlan,doi:10.1287/mnsc.2024.04405,economics,"Department of Economics and Finance, Kellogg School of Management, Northwestern University, Evanston, Illinois 60208"
MIT,MS,2025,David Simchi-Levi,doi:10.1287/mnsc.2023.03818,engineering,"Institute for Data, Systems, and Society, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139; and Laboratory for Information & Decision Systems, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139; and Department of Civil and Environmental Engineering, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139; and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
MIT,MS,2025,David Simchi-Levi,doi:10.1287/mnsc.2022.02533,engineering,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering, Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
MIT,MS,2025,David Simchi-Levi,doi:10.1287/mnsc.2023.00492,engineering,"Institute for Data, Systems, and Society, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139; and Department of Civil and Environmental Engineering, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139; and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
