school,journal,year,author,paper_key,tags,affiliation
UW (Foster),OR,2023,Andrew F. Siegel,doi:10.1287/opre.2023.0070,information_systems,"Information Systems and Operations Management, Michael G. Foster School of Business, University of Washington, Seattle, Washington 98195"
UW (Foster),OR,2023,Michael R. Wagner,doi:10.1287/opre.2023.0070,information_systems,"Information Systems and Operations Management, Michael G. Foster School of Business, University of Washington, Seattle, Washington 98195"
Wharton (UPenn),OR,2024,Gen Li,doi:10.1287/opre.2023.2451,statistics,"Department of Statistics and Data Science, The Wharton School, University of Pennsylvania, Philadelphia, Pennsylvania 19104;"
Wharton (UPenn),OR,2024,Yuting Wei,doi:10.1287/opre.2023.2451,statistics,"Department of Statistics and Data Science, The Wharton School, University of Pennsylvania, Philadelphia, Pennsylvania 19104;"
Wharton (UPenn),OR,2024,Yuxin Chen,doi:10.1287/opre.2023.2451,statistics|engineering|computer_science,"Department of Statistics and Data Science, The Wharton School, University of Pennsylvania, Philadelphia, Pennsylvania 19104; ; Department of Electrical and Systems Engineering, University of Pennsylvania, Philadelphia, Pennsylvania 19104"
USC (Marshall),OR,2024,Vishal Gupta,doi:10.1287/opre.2022.2377,statistics,"Data Science and Operations, Marshall School of Business, University of Southern California, Los Angles, California 90089"
USC (Marshall),OR,2024,Michael Huang,doi:10.1287/opre.2022.2377,statistics,"Data Science and Operations, Marshall School of Business, University of Southern California, Los Angles, California 90089"
USC (Marshall),OR,2024,Paat Rusmevichientong,doi:10.1287/opre.2022.2377,statistics,"Data Science and Operations, Marshall School of Business, University of Southern California, Los Angles, California 90089"
Wharton (UPenn),OR,2024,Gen Li,doi:10.1287/opre.2023.2450,statistics,"Department of Statistics and Data Science, Wharton School, University of Pennsylvania, Philadelphia, Pennsylvania 19104;"
Wharton (UPenn),OR,2024,Yuxin Chen,doi:10.1287/opre.2023.2450,statistics,"Department of Statistics and Data Science, Wharton School, University of Pennsylvania, Philadelphia, Pennsylvania 19104;"
Wharton (UPenn),OR,2024,Yuting Wei,doi:10.1287/opre.2023.2450,statistics,"Department of Statistics and Data Science, Wharton School, University of Pennsylvania, Philadelphia, Pennsylvania 19104;"
Wharton (UPenn),OR,2024,Yuxin Chen,doi:10.1287/opre.2022.0342,statistics,"Department of Statistics and Data Science, Wharton School, University of Pennsylvania, Philadelphia, Pennsylvania 19104;"
MIT,OR,2024,Andrew W. Lo,doi:10.1287/opre.2023.0400,engineering|computer_science,"MIT Sloan School of Management, Cambridge, Massachusetts 02142; ; Laboratory for Financial Engineering, Massachusetts Institute of Technology, Cambridge, Massachusetts 02142; ; Computer Science and Artificial Intelligence Laboratory, Massachusetts Institute of Technology, Cambridge, Massachusetts 02142; ; Santa Fe Institute, Santa Fe, New Mexico 87501;"
