rankings_school,year,ms_std_papers,ms_personal_papers,ms_std_citations,ms_personal_citation_weighted,or_std_papers,or_personal_papers,or_std_citations,or_personal_citation_weighted,msom_std_papers,msom_personal_papers,msom_std_citations,msom_personal_citation_weighted
Duke (Fuqua),2026,0.0000,0.0000,0.0000,0.0000,2.0000,4.0000,0.0000,0.0000,3.0000,4.0000,0.0000,0.0000
Cornell,2016,1.0000,1.0000,153.0000,153.0000,0.0000,0.0000,0.0000,0.0000,2.0000,2.0000,71.0000,71.0000
Cornell,2017,1.0000,1.0000,25.0000,25.0000,2.0000,2.0000,0.0000,0.0000,2.0000,2.0000,111.0000,111.0000
Cornell,2018,2.0000,2.0000,103.0000,103.0000,0.0000,0.0000,0.0000,0.0000,3.0000,3.0000,230.0000,230.0000
Cornell,2019,2.0000,2.0000,100.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Cornell,2020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,2.0000,107.0000,107.0000
Cornell,2021,4.0000,5.0000,200.0000,229.0000,0.0000,0.0000,0.0000,0.0000,4.0000,4.0000,163.0000,163.0000
Cornell,2022,4.0000,5.0000,79.0000,104.0000,0.0000,0.0000,0.0000,0.0000,4.0000,4.0000,122.0000,122.0000
Cornell,2023,4.0000,5.0000,194.0000,310.0000,0.0000,0.0000,0.0000,0.0000,2.0000,2.0000,137.0000,137.0000
Cornell,2024,2.0000,3.0000,149.0000,289.0000,1.0000,1.0000,0.0000,0.0000,3.0000,3.0000,29.0000,29.0000
Cornell,2025,7.0000,7.0000,14.0000,14.0000,2.0000,2.0000,0.0000,0.0000,2.0000,2.0000,3.0000,3.0000
Cornell,2026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
WashU (Olin),2016,1.0000,1.0000,336.0000,336.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,106.0000,106.0000
WashU (Olin),2017,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,2.0000,2.0000,123.0000,123.0000
WashU (Olin),2018,2.0000,3.0000,207.0000,229.0000,2.0000,2.0000,0.0000,0.0000,7.0000,8.0000,868.0000,912.0000
WashU (Olin),2019,3.0000,4.0000,256.0000,347.0000,2.0000,2.0000,0.0000,0.0000,2.0000,3.0000,74.0000,95.0000
WashU (Olin),2020,1.0000,1.0000,287.0000,287.0000,0.0000,0.0000,0.0000,0.0000,2.0000,3.0000,152.0000,268.0000
WashU (Olin),2021,2.0000,2.0000,236.0000,236.0000,0.0000,0.0000,0.0000,0.0000,5.0000,9.0000,378.0000,688.0000
WashU (Olin),2022,1.0000,1.0000,144.0000,144.0000,3.0000,4.0000,0.0000,0.0000,10.0000,13.0000,629.0000,795.0000
WashU (Olin),2023,3.0000,3.0000,267.0000,267.0000,0.0000,0.0000,0.0000,0.0000,5.0000,6.0000,58.0000,66.0000
WashU (Olin),2024,2.0000,2.0000,13.0000,13.0000,2.0000,2.0000,0.0000,0.0000,2.0000,2.0000,24.0000,24.0000
WashU (Olin),2025,4.0000,5.0000,27.0000,38.0000,0.0000,0.0000,0.0000,0.0000,5.0000,5.0000,11.0000,11.0000
WashU (Olin),2026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000
Chicago (Booth),2016,2.0000,3.0000,238.0000,263.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,9.0000,9.0000
Chicago (Booth),2017,3.0000,4.0000,326.0000,386.0000,5.0000,6.0000,0.0000,0.0000,2.0000,2.0000,18.0000,18.0000
Chicago (Booth),2018,2.0000,2.0000,517.0000,517.0000,3.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Chicago (Booth),2019,3.0000,3.0000,232.0000,232.0000,8.0000,8.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Chicago (Booth),2020,2.0000,3.0000,95.0000,162.0000,6.0000,6.0000,0.0000,0.0000,1.0000,1.0000,19.0000,19.0000
Chicago (Booth),2021,2.0000,3.0000,82.0000,107.0000,4.0000,4.0000,0.0000,0.0000,3.0000,5.0000,42.0000,42.0000
Chicago (Booth),2022,2.0000,2.0000,92.0000,92.0000,7.0000,8.0000,0.0000,0.0000,1.0000,1.0000,7.0000,7.0000
Chicago (Booth),2023,3.0000,3.0000,31.0000,31.0000,5.0000,5.0000,0.0000,0.0000,4.0000,4.0000,108.0000,108.0000
Chicago (Booth),2024,3.0000,6.0000,21.0000,39.0000,8.0000,11.0000,0.0000,0.0000,2.0000,2.0000,13.0000,13.0000
Chicago (Booth),2025,10.0000,14.0000,30.0000,41.0000,7.0000,14.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Chicago (Booth),2026,0.0000,0.0000,0.0000,0.0000,1.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
USC (Marshall),2016,2.0000,2.0000,121.0000,121.0000,2.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
USC (Marshall),2017,2.0000,2.0000,208.0000,208.0000,1.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
USC (Marshall),2018,2.0000,2.0000,138.0000,138.0000,2.0000,3.0000,0.0000,0.0000,2.0000,4.0000,63.0000,126.0000
USC (Marshall),2019,2.0000,2.0000,149.0000,149.0000,3.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
USC (Marshall),2020,5.0000,7.0000,268.0000,306.0000,3.0000,4.0000,0.0000,0.0000,2.0000,4.0000,67.0000,134.0000
USC (Marshall),2021,7.0000,10.0000,407.0000,609.0000,7.0000,7.0000,0.0000,0.0000,1.0000,1.0000,19.0000,19.0000
USC (Marshall),2022,4.0000,4.0000,43.0000,43.0000,1.0000,1.0000,0.0000,0.0000,3.0000,3.0000,67.0000,67.0000
USC (Marshall),2023,3.0000,3.0000,39.0000,39.0000,2.0000,3.0000,0.0000,0.0000,1.0000,1.0000,8.0000,8.0000
USC (Marshall),2024,0.0000,0.0000,0.0000,0.0000,3.0000,5.0000,0.0000,0.0000,1.0000,1.0000,56.0000,56.0000
USC (Marshall),2025,3.0000,3.0000,9.0000,9.0000,4.0000,4.0000,0.0000,0.0000,2.0000,3.0000,15.0000,17.0000
